theme,word,nombre,ok
1,bob,157
1,parle,156
1,olydri_noob,156
1,overwatch,156
1,solo,154
1,mettre,154
1,brokybrawks,153
1,vient,152
1,disponible,151
1,lestreamfr,150
1,prendre,148
1,18h,148
1,ps4,147
1,weekend,146
1,truc,146
1,continue,146
1,test,145
1,dis,144
1,soloq,144
1,javais,144
1,veux,144
1,dimanche,144
1,salut,142
1,retrouve,141
1,chaque,141
1,parce,140
1,switch,140
1,kythis_my,140
1,world,139
1,soit,139
1,wow,138
1,surtout,138
1,pense,138
1,follow,138
1,lan,138
1,jen,138
1,genre,138
1,début,137
1,donne,137
1,lennon,137
1,gaming,136
1,joueur,136
1,belle,136
1,mort,136
1,new,136
1,gameplay,136
1,vers,136
1,one,136
1,grande,135
1,chose,135
1,reste,135
1,lance,135
1,voulez,134
1,mieux,134
1,juliabayonetta,133
1,soul,132
1,chaud,132
1,sortie,132
1,nest,132
1,aura,131
1,partie,131
1,skyyart,130
1,teamg1,130
1,fini,130
1,ensemble,130
1,bravo,129
1,passé,129
1,autre,128
1,choses,128
1,tiooolol,128
1,niveau,128
1,content,128
1,parler,128
1,pro,127
1,plein,127
1,mario,126
1,sous,126
1,pars,125
1,regarder,125
1,découvrir,124
1,samedi,124
1,hier,123
1,19h,123
1,pouvoir,123
1,pourquoi,123
1,tas,122
1,avecle6,122
1,100,122
1,prochaine,122
1,soulcalibur,122
1,play,121
1,meilleurs,120
1,version,119
1,besoin,119
1,dès,119
1,15h,118
1,merde,118
1,participer,118
1,nintendo,118
1,anniversaire,117
1,life,117
1,league,117
1,vois,117
1,épisode,117
1,grosse,117
1,chaine,116
1,pouvez,115
1,all,115
1,kills,115
1,now,115
1,esport,115
1,avait,114
1,jvais,114
1,bah,114
1,serai,114
1,sup3rkonar,114
1,faites,114
1,autres,114
1,vite,113
1,quelquun,113
1,sest,112
1,cast,112
1,dispo,112
1,hey,111
1,will,111
1,personne,111
1,vont,111
1,série,111
1,heures,111
1,équipe,110
1,sinon,109
1,bordel,109
1,show,109
1,nouveaux,109
1,gotaga,108
1,gameone,108
1,tête,107
1,autant,107
1,léquipe,107
1,tour,107
1,gars,106
1,are,106
1,dont,106
1,fort,105
1,lunary,105
1,venir,105
1,sympa,105
1,savoir,104
1,week,104
1,battlerite,103
1,désolé,103
1,coupe,103
1,royale,103
1,calibur,103
1,reçu,102
1,côté,102
1,vendredi,102
1,photos,102
1,solarytv,102
1,vive,102
1,final,101
1,from,101
1,time,101
1,découverte,100
1,skirmish,100
1,musique,100
1,tryhard,99
1,narkusslol,99
1,assez,98
1,tenter,98
1,midi,98
1,annonce,98
1,1er,97
1,seul,97
1,svp,97
1,sortir,97
1,cas,97
1,tant,96
1,magnifique,96
1,prochain,96
1,msifrance,96
1,17h,96
1,momanus,95
1,but,95
1,pris,95
1,pire,95
1,mec,94
1,finir,94
1,joué,94
1,longtemps,94
1,fun,93
1,wakzlol,93
1,session,93
1,kinstaar92i,93
1,dead,93
1,tester,92
1,suivre,92
1,projet,92
1,montage,92
1,cause,92
1,worlds,92
1,vodkirl,92
1,terracid,91
1,nhésitez,91
1,out,91
1,jétais,91
1,ligne,91
1,max,91
1,français,91
1,film,90
1,reprend,90
1,frigiel,90
1,grave,89
1,trouve,89
1,chat,89
1,minecraft,88
1,fond,88
1,programme,88
1,reviens,88
1,conférence,88
1,champion,88
